Wall time,Step,Value
1565457729.8008847,1,2.7108120918273926
1565458606.7787418,2,2.796541929244995
1565459557.561815,3,2.887467861175537
1565460626.3990855,4,2.794440507888794
1565461641.0112586,5,2.905663013458252
1565462668.9375422,6,2.686677932739258
1565463732.5988033,7,2.325218915939331
1565464803.728831,8,2.4547500610351562
1565465848.8202512,9,2.4981956481933594
1565466871.973116,10,2.118424892425537
1565467898.4536915,11,2.1413166522979736
1565468930.285201,12,2.292768955230713
1565470017.3331594,13,2.447535991668701
1565471078.7476025,14,2.4619879722595215
1565472113.8899584,15,2.569216728210449
1565473099.2423065,16,2.399993896484375
1565474130.40669,17,2.1685311794281006
1565475206.7962306,18,2.2321484088897705
1565476242.504852,19,2.280820608139038
1565477291.1601117,20,1.9170950651168823
1565478362.9512925,21,1.8335589170455933
1565479408.9954703,22,2.0256030559539795
1565480497.0492704,23,2.1515512466430664
1565481515.84517,24,2.1572232246398926
1565482565.0124915,25,2.3561899662017822
1565483613.3040328,26,2.16809344291687
1565484635.808339,27,1.9896941184997559
1565485717.5549839,28,2.021401882171631
1565486754.755587,29,2.0762858390808105
1565487806.421826,30,1.75477933883667
1565488841.477741,31,1.71742844581604
1565489886.2197766,32,1.8958195447921753
1565490928.6961775,33,2.0170083045959473
1565492012.0783372,34,2.0476529598236084
1565493057.8032238,35,2.221439838409424
1565494125.278887,36,2.0848605632781982
1565495174.172914,37,2.0438895225524902
1565496195.20612,38,1.9486230611801147
1565497261.9907565,39,2.0570037364959717
1565498325.2490625,40,1.7914762496948242
1565499374.324333,41,1.821192979812622
1565500420.4512494,42,1.8363481760025024
1565501451.070529,43,1.9863033294677734
1565502528.5451963,44,2.02561616897583
1565503576.939616,45,2.1444973945617676
1565504636.5678744,46,2.031599521636963
1565505714.4019341,47,1.8991869688034058
1565506746.4980829,48,1.971053957939148
1565507812.2403429,49,2.029165267944336
1565508872.9291525,50,1.8767964839935303
1565509936.5178196,51,1.727315902709961
1565510968.6024928,52,1.9223698377609253
1565512018.848865,53,2.1601650714874268
1565513066.7300756,54,2.2669005393981934
1565514152.9927804,55,2.154088258743286
1565515237.3527904,56,1.9783891439437866
1565516272.1460855,57,1.9020031690597534
1565517291.4690166,58,2.0021133422851562
1565518352.4157398,59,2.1263787746429443
1565519413.1481576,60,1.936751365661621
1565520471.852323,61,1.874792456626892
1565521496.0283418,62,1.85000741481781
1565522496.8076394,63,1.990107536315918
1565523533.6204996,64,2.2339906692504883
1565524612.8611598,65,2.005093574523926
1565525672.3429976,66,1.932508111000061
1565526706.8663328,67,1.7712305784225464
1565527726.3283236,68,2.1855180263519287
1565528790.2553415,69,2.25799298286438
1565529836.5606902,70,2.488292932510376
1565530879.5047328,71,2.685934543609619
1565531924.1781135,72,2.6212027072906494
1565532952.8661687,73,1.988855004310608
1565534026.2173922,74,2.2214157581329346
1565535088.7550666,75,1.9260680675506592
1565536154.534213,76,2.2464849948883057
1565537176.6906903,77,2.2892630100250244
1565538225.8463194,78,2.303480386734009
1565539272.352364,79,2.479865550994873
1565540312.498454,80,2.6107380390167236
1565541374.319704,81,2.7282767295837402
1565542424.0464697,82,2.8467483520507812
1565543439.8262947,83,2.5070176124572754
1565544506.3765075,84,2.574455976486206
1565545561.7420862,85,2.711111307144165
1565546603.0983384,86,2.5448391437530518
1565547661.9407895,87,2.628159761428833
1565548736.2334857,88,2.7711853981018066
1565549788.8928003,89,2.6156532764434814
1565550872.6077669,90,2.7160699367523193
1565551930.4721951,91,2.896596908569336
1565553000.8373542,92,2.974639892578125
1565554060.1081161,93,2.6463663578033447
1565555108.7691195,94,2.709507942199707
1565556176.925796,95,2.7491354942321777
1565557232.362251,96,2.6301872730255127
1565558293.3580134,97,2.753605365753174
1565559349.3933887,98,2.8078134059906006
1565560381.00449,99,2.8630850315093994
1565561449.0189443,100,2.7736611366271973
1565562503.6539497,101,3.0114357471466064
1565563541.9371667,102,3.108067512512207
1565564621.7150068,103,2.840191125869751
1565565673.9669263,104,2.9244487285614014
1565566721.8147855,105,2.9211173057556152
1565567813.4214163,106,2.8768913745880127
1565568869.7165718,107,2.824445962905884
1565569941.5773795,108,2.8154244422912598
1565571000.5080116,109,3.012402057647705
1565572086.3454874,110,3.0552735328674316
1565573136.7316387,111,3.264904022216797
1565574214.0158448,112,3.1566433906555176
1565575232.9491127,113,3.004795789718628
1565576251.3804905,114,2.9655067920684814
1565577271.540461,115,3.093559503555298
1565578338.0059974,116,2.855559825897217
1565579410.31839,117,2.841352701187134
1565580467.0070765,118,2.932029962539673
1565581460.4832299,119,3.0568149089813232
1565582493.2690997,120,3.1246659755706787
1565583563.5443695,121,3.2912180423736572
1565584618.6590538,122,3.1807644367218018
1565585637.2642236,123,3.0701699256896973
1565586675.7722263,124,2.986945390701294
1565587730.2507923,125,3.103762626647949
1565588807.769163,126,2.914323329925537
1565589853.4930642,127,2.919419288635254
1565590869.422714,128,3.0013532638549805
1565591907.9990542,129,3.1826353073120117
1565592930.5964005,130,3.1083314418792725
1565594027.40646,131,3.3827812671661377
1565595060.242716,132,3.3107638359069824
1565596133.7985046,133,3.067467451095581
1565597189.7582102,134,3.1758718490600586
1565598233.8156369,135,3.1361985206604004
1565599328.1053758,136,2.938861131668091
1565600399.137995,137,3.225203037261963
1565601404.795079,138,3.267047643661499
1565602441.2044976,139,3.1879756450653076
1565603486.5088131,140,3.1972899436950684
1565604556.7653878,141,3.424044609069824
1565605615.525813,142,3.3291127681732178
1565606647.435367,143,3.2590744495391846
1565607697.9996843,144,3.245950937271118
1565608735.9542344,145,3.293886184692383
1565609817.6757197,146,3.0906965732574463
1565610862.7268198,147,3.2542636394500732
1565611930.349671,148,3.283484935760498
1565612947.176509,149,3.2566330432891846
1565614021.8288798,150,3.2270898818969727
1565615097.6937118,151,3.4411115646362305
1565616160.2092528,152,3.3986592292785645
1565617223.1136951,153,3.2639636993408203
1565618294.9652832,154,3.3095057010650635
1565619338.2114954,155,3.346585750579834
1565620386.220845,156,3.1487197875976562
1565621490.842869,157,3.4408223628997803
1565622547.120279,158,3.309170961380005
1565623594.3381934,159,3.387080192565918
1565624662.7223272,160,3.394409656524658
1565625698.035932,161,3.4871630668640137
1565626762.8059003,162,3.434016704559326
1565627845.1413388,163,3.3428306579589844
1565628904.0214746,164,3.3622822761535645
1565629980.0423458,165,3.366877794265747
1565631023.1003516,166,3.437511682510376
1565632080.3575883,167,3.5560061931610107
1565633159.4034967,168,3.350217342376709
1565634230.3181176,169,3.509183645248413
1565635250.9876251,170,3.458258867263794
1565636256.1881478,171,3.6602730751037598
